"lab_id","lab_code","lab_name","location","certification","equipment_level","created_at"
1,"LAB001","深圳国家药典委员会认证化学成分分析室","深圳市南山区高新技术开发区科技路12号","国家药典委员会认证","先进级","2025-11-11 10:36:07.714312"
2,"LAB002","深圳市级色谱分析实验室","深圳市南山区高新技术开发区科技路12号","药品检验机构资格认证","基础级","2025-11-11 10:36:07.714312"
3,"LAB003","武汉省级化学成分分析室","武汉市东湖高新区光谷大道38号光谷生物医药产业园12号楼","GLP","基础级","2025-11-11 10:36:07.714312"
4,"LAB004","武汉省级光谱分析实验室","武汉市东湖高新区高新大道666号光谷科技创新园5号楼","GLP","研发级","2025-11-11 10:36:07.714312"
5,"LAB005","西安省级化学成分分析室","西安市高新区创新路12号科技产业园A栋","CMA","标准级","2025-11-11 10:36:07.714312"
6,"LAB006","深圳省级药理活性检测室","深圳市南山区高新技术开发区科技路12号","CAP","基础级","2025-11-11 10:36:07.714312"
7,"LAB007","成都省级色谱分析实验室","成都市高新区高新技术开发区创新路12号","CMA","标准级","2025-11-11 10:36:07.714312"
8,"LAB008","长沙省级分子生物实验室","长沙市岳麓区高新技术开发区创新路12号","CNAS","基础级","2025-11-11 10:36:07.714312"
9,"LAB009","成都省级微生物检验室","成都市高新区高新技术开发区创新路12号","CMA","标准级","2025-11-11 10:36:07.714312"
10,"LAB010","北京市级生物分析实验室","北京市海淀区中关村科技园区12号楼","CNAS","基础级","2025-11-11 10:36:07.714312"
11,"LAB011","广州省级药理活性检测室","广州市天河区高新技术开发区创新路12号","药品检验机构资格认证","标准级","2025-11-11 10:36:07.714312"
12,"LAB012","成都省级稳定性研究室","成都市高新区高新技术开发区创新路12号","CMA","研发级","2025-11-11 10:36:07.714312"
13,"LAB013","长沙市级色谱分析实验室","长沙市岳麓区高新技术开发区创新路12号","ISO 9001","标准级","2025-11-11 10:36:07.714312"
14,"LAB014","杭州省级生物分析实验室","杭州市西湖区高新技术开发区创新路12号","CMA","研发级","2025-11-11 10:36:07.714312"
15,"LAB015","南京省级药物代谢研究室","南京市鼓楼区高新技术开发区创新路12号","药品检验机构资格认证","先进级","2025-11-11 10:36:07.714312"
16,"LAB016","深圳市级稳定性研究室","深圳市南山区高新技术开发区科技路12号","CAP","基础级","2025-11-11 10:36:07.714312"
17,"LAB017","济南国家制剂工艺研究室","济南市高新区创新路12号生物医药产业园A栋","国家药典委员会认证","基础级","2025-11-11 10:36:07.714312"
18,"LAB018","成都省级色谱分析实验室","成都市高新区科技创新园9号楼","药品检验机构资格认证","基础级","2025-11-11 10:36:07.714312"
19,"LAB019","成都省级物理特性检验室","成都市高新区高新技术开发区创新路12号","GLP","研发级","2025-11-11 10:36:07.714312"
20,"LAB020","成都省级分子生物实验室","成都市高新区高新技术开发区创新路12号","GLP","基础级","2025-11-11 10:36:07.714312"
21,"LAB021","上海市级理化检测实验室","上海市浦东新区高新技术开发区创新路12号","CMA","基础级","2025-11-11 10:36:07.714312"
22,"LAB022","深圳省级光谱分析实验室","深圳市南山区高新技术开发区科技路12号","GLP","研发级","2025-11-11 10:36:07.714312"
23,"LAB023","苏州省级化学成分分析室","苏州市工业园区创新路12号","CNAS","标准级","2025-11-11 10:36:07.714312"
24,"LAB024","武汉省级化学成分分析室","武汉市东湖高新区光谷大道28号生物医药产业园12栋","药品检验机构资格认证","标准级","2025-11-11 10:36:07.714312"
25,"LAB025","南京省级稳定性研究室","南京市鼓楼区高新技术开发区创新路12号","CMA","国际领先级","2025-11-11 10:36:07.714312"
26,"LAB026","深圳市级制剂工艺研究室","深圳市南山区高新技术开发区创新路12号","CMA","研发级","2025-11-11 10:36:07.714312"
27,"LAB027","杭州省级生物分析实验室","杭州市西湖区科技园区12号楼","ISO 17025","研发级","2025-11-11 10:36:07.714312"
28,"LAB028","上海国家制剂工艺研究室","上海市浦东新区张江高科技园区创新路12号","CNAS","国际领先级","2025-11-11 10:36:07.714312"
29,"LAB029","济南省级色谱分析实验室","济南市高新区创新路12号生物医药产业园A栋","药品检验机构资格认证","研发级","2025-11-11 10:36:07.714312"
30,"LAB030","北京国家化学成分分析室","北京市海淀区中关村科技园区12号楼","ISO 17025","先进级","2025-11-11 10:36:07.714312"
